Name,Year,Runtime,Rate,Votes
American Beauty,1999,2h 2m,8.3, (1.3M)
Capernaum,2018,2h 6m,8.4, (126K)
Singin' in the Rain,1952,1h 43m,8.3, (285K)
Once Upon a Time in America,1984,3h 49m,8.3, (411K)
Joker,2019,2h 2m,8.3, (1.7M)
Toy Story 3,2010,1h 43m,8.3, (987K)
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3, (1.2M)
Come and See,1985,2h 22m,8.3, (126K)
Requiem for a Dream,2000,1h 42m,8.3, (982K)
Ikiru,1952,2h 23m,8.3, (104K)
Incendies,2010,2h 11m,8.3, (257K)
The Hunt,2012,1h 55m,8.3, (416K)
Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3, (1.2M)
The Apartment,1960,2h 5m,8.3, (222K)
Lawrence of Arabia,1962,3h 47m,8.3, (345K)
Attack on Titan: The Last Attack,2024,2h 25m,8.9, (35K)
Heat,1995,2h 50m,8.3, (815K)
Scarface,1983,2h 50m,8.3, (1M)
Reservoir Dogs,1992,1h 39m,8.2, (1.2M)
2001: A Space Odyssey,1968,2h 29m,8.3, (790K)
Up,2009,1h 36m,8.3, (1.3M)
Double Indemnity,1944,1h 47m,8.3, (183K)
Like Stars on Earth,2007,2h 42m,8.3, (235K)
North by Northwest,1959,2h 16m,8.3, (371K)
Full Metal Jacket,1987,1h 56m,8.2, (857K)
A Separation,2011,2h 3m,8.3, (280K)
I Swear,2025,2h,8.4, (59K)
M,1931,1h 39m,8.3, (184K)
Die Hard,1988,2h 12m,8.2, (1M)
Amélie,2001,2h 2m,8.2, (845K)
Vertigo,1958,2h 8m,8.2, (462K)
Citizen Kane,1941,1h 59m,8.2, (496K)
To Kill a Mockingbird,1962,2h 9m,8.2, (353K)
Indiana Jones and the Last Crusade,1989,2h 7m,8.2, (870K)
The Sting,1973,2h 9m,8.2, (305K)
A Clockwork Orange,1971,2h 16m,8.2, (943K)
Metropolis,1927,2h 30m,8.2, (203K)
1917,2019,1h 59m,8.2, (783K)
Snatch,2000,1h 42m,8.2, (983K)
Woman in the Dunes,1964,2h 27m,8.4, (26K)
The Wolf of Wall Street,2013,3h,8.2, (1.8M)
The Truman Show,1998,1h 43m,8.2, (1.4M)
Downfall,2004,2h 36m,8.2, (403K)
Shutter Island,2010,2h 18m,8.2, (1.7M)
L.A. Confidential,1997,2h 18m,8.2, (662K)
Dangal,2016,2h 41m,8.3, (247K)
Green Book,2018,2h 10m,8.2, (700K)
Bicycle Thieves,1948,1h 29m,8.2, (193K)
Judgment at Nuremberg,1961,2h 59m,8.3, (98K)
Jurassic Park,1993,2h 7m,8.2, (1.2M)
Oppenheimer,2023,3h,8.2, (1.1M)
Batman Begins,2005,2h 20m,8.2, (1.7M)
For a Few Dollars More,1965,2h 12m,8.2, (303K)
Hamilton,2020,2h 40m,8.3, (142K)
There Will Be Blood,2007,2h 38m,8.2, (717K)
Some Like It Hot,1959,2h 1m,8.2, (307K)
Taxi Driver,1976,1h 54m,8.2, (1M)
The Father,2020,1h 37m,8.2, (249K)
The Kid,1921,1h 8m,8.2, (147K)
The Sixth Sense,1999,1h 47m,8.2, (1.2M)
All About Eve,1950,2h 18m,8.2, (150K)
Ran,1985,2h 40m,8.2, (154K)
Casino,1995,2h 58m,8.2, (626K)
The Thing,1982,1h 49m,8.2, (533K)
No Country for Old Men,2007,2h 2m,8.2, (1.2M)
Prisoners,2013,2h 33m,8.2, (953K)
Top Gun: Maverick,2022,2h 10m,8.2, (900K)
Kill Bill: Vol. 1,2003,1h 51m,8.2, (1.3M)
Project Hail Mary,2026,2h 36m,8.2, (511K)
Unforgiven,1992,2h 10m,8.2, (472K)
Pan's Labyrinth,2006,1h 58m,8.2, (752K)
A Beautiful Mind,2001,2h 15m,8.2, (1.1M)
Howl's Moving Castle,2004,1h 59m,8.2, (520K)
The Treasure of the Sierra Madre,1948,2h 6m,8.2, (142K)
Finding Nemo,2003,1h 40m,8.2, (1.2M)
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,2h 35m,8.4, (81K)
Klaus,2019,1h 36m,8.2, (241K)
Yojimbo,1961,1h 50m,8.2, (144K)
The Elephant Man,1980,2h 4m,8.2, (284K)
The Great Escape,1963,2h 52m,8.2, (279K)
Monty Python and the Holy Grail,1975,1h 31m,8.1, (607K)
Dial M for Murder,1954,1h 45m,8.1, (207K)
The Secret in Their Eyes,2009,2h 9m,8.2, (245K)
Gone with the Wind,1939,3h 58m,8.2, (358K)
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1, (653K)
Chinatown,1974,2h 10m,8.1, (379K)
Catch Me If You Can,2002,2h 21m,8.1, (1.3M)
V for Vendetta,2005,2h 12m,8.1, (1.3M)
The Best of Youth,2003,6h 14m,8.4, (29K)
Inside Out,2015,1h 35m,8.1, (929K)
Dead Poets Society,1989,2h 8m,8.1, (665K)
Trainspotting,1996,1h 33m,8.1, (773K)
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1, (614K)
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1, (1.1M)
The Bridge on the River Kwai,1957,2h 41m,8.1, (250K)
Rashomon,1950,1h 28m,8.1, (198K)
Barry Lyndon,1975,3h 5m,8.1, (207K)
The Wild Robot,2024,1h 42m,8.1, (235K)
Ben-Hur,1959,3h 32m,8.1, (273K)
Warrior,2011,2h 20m,8.1, (533K)
Hacksaw Ridge,2016,2h 19m,8.1, (694K)
Fargo,1996,1h 38m,8.1, (794K)
Mad Max: Fury Road,2015,2h,8.1, (1.2M)
