Name,Year,Runtime,Rate,Votes
Batman Begins,2005,140,8.2,1700000.0
For a Few Dollars More,1965,132,8.2,303000.0
Hamilton,2020,160,8.3,142000.0
There Will Be Blood,2007,158,8.2,717000.0
Some Like It Hot,1959,121,8.2,307000.0
Taxi Driver,1976,114,8.2,1000000.0
The Father,2020,97,8.2,249000.0
The Kid,1921,68,8.2,147000.0
The Sixth Sense,1999,107,8.2,1200000.0
All About Eve,1950,138,8.2,150000.0
Ran,1985,160,8.2,154000.0
Casino,1995,178,8.2,626000.0
The Thing,1982,109,8.2,533000.0
No Country for Old Men,2007,122,8.2,1200000.0
Prisoners,2013,153,8.2,953000.0
Top Gun: Maverick,2022,130,8.2,900000.0
Kill Bill: Vol. 1,2003,111,8.2,1300000.0
Project Hail Mary,2026,156,8.2,511000.0
Unforgiven,1992,130,8.2,472000.0
Pan's Labyrinth,2006,118,8.2,752000.0
A Beautiful Mind,2001,135,8.2,1100000.0
Howl's Moving Castle,2004,119,8.2,520000.0
The Treasure of the Sierra Madre,1948,126,8.2,142000.0
Finding Nemo,2003,100,8.2,1200000.0
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,155,8.4,81000.0
Klaus,2019,96,8.2,241000.0
Yojimbo,1961,110,8.2,144000.0
The Elephant Man,1980,124,8.2,284000.0
The Great Escape,1963,172,8.2,279000.0
Monty Python and the Holy Grail,1975,91,8.1,607000.0
Dial M for Murder,1954,105,8.1,207000.0
The Secret in Their Eyes,2009,129,8.2,245000.0
Gone with the Wind,1939,238,8.2,358000.0
"Lock, Stock and Two Smoking Barrels",1998,107,8.1,653000.0
Chinatown,1974,130,8.1,379000.0
Catch Me If You Can,2002,141,8.1,1300000.0
V for Vendetta,2005,132,8.1,1300000.0
The Best of Youth,2003,374,8.4,29000.0
Inside Out,2015,95,8.1,929000.0
Dead Poets Society,1989,128,8.1,665000.0
Trainspotting,1996,93,8.1,773000.0
"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,614000.0
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,1100000.0
The Bridge on the River Kwai,1957,161,8.1,250000.0
Rashomon,1950,88,8.1,198000.0
Barry Lyndon,1975,185,8.1,207000.0
The Wild Robot,2024,102,8.1,235000.0
Ben-Hur,1959,212,8.1,273000.0
Warrior,2011,140,8.1,533000.0
Hacksaw Ridge,2016,139,8.1,694000.0
Fargo,1996,98,8.1,794000.0
Mad Max: Fury Road,2015,120,8.1,1200000.0
Million Dollar Baby,2004,132,8.1,772000.0
Ratatouille,2007,111,8.1,961000.0
Children of Heaven,1997,89,8.2,91000.0
My Neighbor Totoro,1988,86,8.1,438000.0
Gran Torino,2008,116,8.1,868000.0
Raging Bull,1980,129,8.1,413000.0
12 Years a Slave,2013,134,8.1,793000.0
How to Train Your Dragon,2010,98,8.1,906000.0
Memories of Murder,2003,131,8.1,273000.0
